,index,Unnamed: 0,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,ratecode_id,store_and_fwd_flag,pu_loc_id,do_loc_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,month,day,trip_duration,duration_minutes,pickup_dropoff,mean_distance,mean_duration,rush_hour
63,2833,89113780,2,2017-10-22 12:52:50,2017-10-22 13:48:16,1,17.22,2,N,142,132,1,52.0,0.0,0.5,13.2,0.0,0.3,66.0,October,Sunday,0 days 00:55:26,55.43333333333333,142 132,20.77,48.949999999999996,0
48,2222,22930043,1,2017-03-25 13:41:45,2017-03-25 14:19:28,4,8.8,2,N,223,186,1,52.0,0.0,0.5,11.7,5.76,0.3,70.26,March,Saturday,0 days 00:37:43,37.71666666666667,223 186,8.8,37.71666666666667,0
49,2250,68570528,2,2017-08-13 17:56:08,2017-08-13 18:32:12,2,19.76,2,N,237,132,1,52.0,0.0,0.5,0.0,5.76,0.3,58.56,August,Sunday,0 days 00:36:04,36.06666666666667,237 132,19.76,36.06666666666667,0
50,2251,78572638,2,2017-09-18 14:58:09,2017-09-18 15:54:46,1,17.71,2,N,132,234,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,September,Monday,0 days 00:56:37,56.61666666666667,132 234,17.654,49.833333333333336,0
51,2280,100744848,2,2017-11-28 21:20:43,2017-11-28 21:53:50,2,19.12,2,N,132,211,1,52.0,0.0,0.5,8.0,0.0,0.3,60.8,November,Tuesday,0 days 00:33:07,33.11666666666667,132 211,18.91,45.61666666666667,0
52,2290,58516191,1,2017-07-09 18:21:17,2017-07-09 19:27:49,1,17.9,2,N,132,13,1,52.0,0.0,0.5,10.55,0.0,0.3,63.35,July,Sunday,0 days 01:06:32,66.53333333333333,132 13,20.86,51.33888888888888,0
53,2321,29146944,1,2017-04-08 09:01:13,2017-04-08 09:18:54,1,14.8,2,N,145,132,2,52.0,0.0,0.5,0.0,5.76,0.3,58.56,April,Saturday,0 days 00:17:41,17.683333333333334,145 132,14.8,17.683333333333334,0
54,2389,58154034,2,2017-07-08 10:46:42,2017-07-08 11:19:57,1,18.73,2,N,43,132,1,52.0,0.0,0.5,5.0,5.76,0.3,63.56,July,Saturday,0 days 00:33:15,33.25,43 132,18.6575,41.27916666666667,0
55,2474,111604992,2,2017-01-01 19:10:19,2017-01-01 20:51:43,1,0.21,2,N,132,143,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36,January,Sunday,0 days 01:41:24,88.74999999999999,132 143,10.905000000000001,76.86666666666666,0
40,1538,36280393,2,2017-04-29 15:38:25,2017-04-29 16:35:46,5,21.5,2,N,13,132,1,52.0,0.0,0.5,0.0,5.76,0.3,58.56,April,Saturday,0 days 00:57:21,57.35,13 132,24.505,53.81666666666666,0
